Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO MOGUE LTDA,OCTANO,CL 63 SUR 4C ESTE 52,GASOLINA CORRIENTE OXIGENADA,9120.0,A,CL 63 SUR 4C ESTE 52,"CL 63 SUR 4C ESTE 52, Bogota, d.c., Colombia","(4.50721, -74.10588)",4.50721,-74.10588
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AUTOMOTRIZ EXITO AMERICAS,MOBIL,AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78,BIODIESEL EXTRA,9930.0,A,AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78,"AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78, Bogota, d.c., Colombia","(4.62976, -74.12833)",4.62976,-74.12833
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AUTOMOTRIZ EXITO AMERICAS,MOBIL,AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78,GASOLINA CORRIENTE OXIGENADA,9130.0,A,AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78,"AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78, Bogota, d.c., Colombia","(4.62976, -74.12833)",4.62976,-74.12833
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AUTOMOTRIZ EXITO AMERICAS,MOBIL,AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78,GASOLINA EXTRA OXIGENADA,17450.0,A,AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78,"AVENIDA CALLE 6 (AVENIDA DE LAS AMERICAS) No.  68-78, Bogota, d.c., Colombia","(4.62976, -74.12833)",4.62976,-74.12833
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO BIOMAX PRIMAVERA,BIOMAX,CARRERA 69R 75-65,GASOLINA CORRIENTE OXIGENADA,8849.0,A,CARRERA 69R 75-65,"CARRERA 69R 75-65, Bogota, d.c., Colombia","(4.68827, -74.08799)",4.68827,-74.08799
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO BIOMAX PRIMAVERA,BIOMAX,CARRERA 69R 75-65,BIODIESEL EXTRA,9280.0,A,CARRERA 69R 75-65,"CARRERA 69R 75-65, Bogota, d.c., Colombia","(4.68827, -74.08799)",4.68827,-74.08799
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AVENIDA CALLE 80,TERPEL,Avenida Calle 80 No. 68H-39,GASOLINA CORRIENTE OXIGENADA,8830.0,A,Avenida Calle 80 No. 68H-39,"Avenida Calle 80 No. 68H-39, Bogota, d.c., Colombia","(4.68654, -74.08147)",4.68654,-74.08147
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AVENIDA CALLE 80,TERPEL,Avenida Calle 80 No. 68H-39,BIODIESEL EXTRA,8680.0,A,Avenida Calle 80 No. 68H-39,"Avenida Calle 80 No. 68H-39, Bogota, d.c., Colombia","(4.68654, -74.08147)",4.68654,-74.08147
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AVENIDA CALLE 80,TERPEL,Avenida Calle 80 No. 68H-39,GASOLINA EXTRA OXIGENADA,18690.0,A,Avenida Calle 80 No. 68H-39,"Avenida Calle 80 No. 68H-39, Bogota, d.c., Colombia","(4.68654, -74.08147)",4.68654,-74.08147
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",EDS MARIANA,TERPEL,DIAGONAL 2B No. 85-10,BIODIESEL EXTRA,8830.0,A,DIAGONAL 2B No. 85-10,"DIAGONAL 2B No. 85-10, Bogota, d.c., Colombia","(4.58196, -74.06794)",4.58196,-74.06794
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",EDS MARIANA,TERPEL,DIAGONAL 2B No. 85-10,GASOLINA CORRIENTE OXIGENADA,8880.0,A,DIAGONAL 2B No. 85-10,"DIAGONAL 2B No. 85-10, Bogota, d.c., Colombia","(4.58196, -74.06794)",4.58196,-74.06794
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO EL TOPACIO,PETROBRAS,CARRERA 71 No. 116-04,GASOLINA CORRIENTE OXIGENADA,8990.0,A,CARRERA 71 No. 116-04,"CARRERA 71 No. 116-04, Bogota, d.c., Colombia","(4.70041, -74.07747)",4.70041,-74.07747
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO EL TOPACIO,PETROBRAS,CARRERA 71 No. 116-04,BIODIESEL EXTRA,8950.0,A,CARRERA 71 No. 116-04,"CARRERA 71 No. 116-04, Bogota, d.c., Colombia","(4.70041, -74.07747)",4.70041,-74.07747
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO EL TOPACIO,PETROBRAS,CARRERA 71 No. 116-04,GASOLINA EXTRA OXIGENADA,16970.0,A,CARRERA 71 No. 116-04,"CARRERA 71 No. 116-04, Bogota, d.c., Colombia","(4.70041, -74.07747)",4.70041,-74.07747
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",COMBUSTIBLES PEGASO SAS,MOBIL,CARRERA 7 No. 70-31,GASOLINA EXTRA OXIGENADA,17840.0,A,CARRERA 7 No. 70-31,"CARRERA 7 No. 70-31, Bogota, d.c., Colombia","(4.61468, -74.13735)",4.61468,-74.13735
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",COMBUSTIBLES PEGASO SAS,MOBIL,CARRERA 7 No. 70-31,GASOLINA CORRIENTE OXIGENADA,9290.0,A,CARRERA 7 No. 70-31,"CARRERA 7 No. 70-31, Bogota, d.c., Colombia","(4.61468, -74.13735)",4.61468,-74.13735
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AUTOMOTRIZ EXITO VILLA MAYOR,MOBIL,AUTOPISTA SUR CL 38A - 07,BIODIESEL EXTRA,9000.0,A,AUTOPISTA SUR CL 38A - 07,"AUTOPISTA SUR CL 38A - 07, Bogota, d.c., Colombia","(4.60002, -74.12968)",4.60002,-74.12968
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AUTOMOTRIZ EXITO VILLA MAYOR,MOBIL,AUTOPISTA SUR CL 38A - 07,GASOLINA CORRIENTE OXIGENADA,9130.0,A,AUTOPISTA SUR CL 38A - 07,"AUTOPISTA SUR CL 38A - 07, Bogota, d.c., Colombia","(4.60002, -74.12968)",4.60002,-74.12968
